0,1,2,3,4,5,6,7,8
18.5,55.0,1380.5,1633.5,1805.5,1856.0,1935.5,1980.0,1998.0
4158.59,4200.67,6032.13,6416.31,6677.28,6752.83,6871.29,6937.66,6965.43
